document_id,source_id,publisher_id,publish_time
1595802,1,603,2016-06-05 00:00:00
1524246,1,603,2016-05-26 11:00:00
1617787,1,603,2016-05-27 00:00:00
1615583,1,603,2016-06-07 00:00:00
1615460,1,603,2016-06-20 00:00:00
1615354,1,603,2016-06-10 00:00:00
1614611,1,603,2016-06-05 13:00:00
1614235,1,603,2016-06-09 00:00:00
1614225,1,603,2016-06-09 00:00:00
1488264,1,603,2016-05-23 13:00:00
1614048,1,603,2016-06-05 12:00:00
1543808,1,603,2016-05-29 10:00:00
1543666,1,603,2016-05-29 10:00:00
1541439,1,603,2016-05-28 17:00:00
1613295,1,603,2016-06-05 00:00:00
1613215,1,603,2016-06-05 09:00:00
1524704,1,603,2016-05-28 00:00:00
1610319,1,603,2016-06-14 00:00:00
1542552,1,603,2016-05-30 00:00:00
1524546,1,603,2016-05-28 00:00:00
1609802,1,603,2016-06-04 16:00:00
1647498,1,603,2015-06-07 00:00:00
1609256,1,603,2016-06-14 00:00:00
1488057,1,603,2016-05-23 12:00:00
1608075,1,603,2016-06-04 11:00:00
1649561,1,603,2016-06-15 00:00:00
1600843,1,603,2016-06-09 00:00:00
1595678,1,603,2016-06-03 10:00:00
1595611,1,603,2016-06-03 10:00:00
1536093,1,603,2016-05-29 00:00:00
1536084,1,603,2016-05-30 00:00:00
1494886,1,603,2016-05-23 17:00:00
1649799,1,603,2016-06-21 00:00:00
1594837,1,603,2016-06-06 00:00:00
1594007,1,603,2016-06-03 08:00:00
1535812,1,603,2016-05-27 14:00:00
1502838,1,603,2016-05-24 09:00:00
1591350,1,603,2016-06-03 01:00:00
1589532,1,603,2016-06-02 21:00:00
1535078,1,603,2016-05-28 00:00:00
1495482,1,603,2016-05-23 17:00:00
1534651,1,603,2016-05-29 00:00:00
1534401,1,603,2016-05-27 12:00:00
1588025,1,603,2016-06-10 00:00:00
1587911,1,603,2016-06-03 00:00:00
1587791,1,603,2016-05-27 00:00:00
1587682,1,603,2016-06-09 00:00:00
1534131,1,603,2016-05-30 00:00:00
1586920,1,603,2016-06-13 00:00:00
1586787,1,603,2016-06-11 00:00:00
1533821,1,603,2016-05-30 00:00:00
1506824,1,603,2016-05-24 15:00:00
1586120,1,603,2016-06-05 00:00:00
1650920,1,603,2016-06-10 00:00:00
1533517,1,603,2016-05-27 11:00:00
1533463,1,603,2016-05-27 10:00:00
1585940,1,603,2016-06-02 17:00:00
1533377,1,603,2016-05-27 10:00:00
1585309,1,603,2016-06-02 16:00:00
1533167,1,603,2016-05-27 00:00:00
1533110,1,603,2016-05-30 00:00:00
